"id_str","extended"
"1227566963179900928"," '175 people are now infected with the coronavirus on a Japanese cruise ship, the second-largest outbreak outside of China. \n\nAll the latest on the #COVID19 outbreak: "
"1227544146933637120","In Hong Kong, the #COVID19 rekindles old animosities towards China https://t.co/gMWAF6dS6h | #coronavirus https://t.co/G37pqRod2m"
"1227484378701422598"," ""Southeast Asian law makers call on gov’ts to stop using 'fake news' laws against people accused of spreading coronavirus misinformation "
"1227477166935412736"," 'Some 175 people are now infected with coronavirus on the cruise ship quarantined in Japan "
"1227438567162548224","China coronavirus outbreak: All the latest updates https://t.co/DG1oBczDjb"
"1227288394390216704","World must consider #coronavirus ""public enemy number one"", says World Health Organization https://t.co/y9oomE8VVk https://t.co/XF84W3uJ5f"
"1227273462445637633","#Coronavirus vaccine could be ready in 18 months, says World Health Organization https://t.co/CmT3nvO9tg https://t.co/Ybw40Oats8"
"1227144785410056192"," 'The #coronavirus outbreak has claimed more than 1,000 lives.\n\nOfficials recorded 108 deaths in mainland China on Monday alone, the most in a single day. "
"1227127738949042176"," 'China’s #coronavirus death toll has exceeded more than 1,000.\n\nRead the latest on the outbreak: "
"1227118713171841025","RT @AJENews: Singapore expects up to 30 percent drop in visitor numbers due to coronavirus. All the latest updates: https://t.co/wSZ4ruEEHI…"
"1227051597634703360","China coronavirus outbreak: All the latest updates https://t.co/jQlmt0HKKk"
"1227036552473317377","China coronavirus death toll breaches 1,000 https://t.co/CTLmMgN265"
"1227034577954316288"," ""After China's Lunar New Year holiday, workplaces and schools remain deserted in several cities as it works to contain coronavirus "
"1226983566762008582","RT @AJEnglish: Human-to-human #coronavirus transmission cases discovered outside of China could just be the “tip of the iceberg”, says @WHO…"
"1226978511451193352"," '""[China] must have confidence that that we will eventually win this battle against the [coronavirus]"", says Chinese President Xi Jinping "
"1226955757750542336"," '""This virus is very serious but what can I do?""\n\nDelivery men in China providing a lifeline despite #coronavirus risks "
"1226935460326453248","Lunar New Year holiday ends but workers stay home as China battles #coronavirus | https://t.co/jTeulI7OWT https://t.co/1CKoqdrRIO"
"1226900504506257408"," 'Human-to-human #coronavirus transmission cases discovered outside of China could just be the “tip of the iceberg”, says @WHO.\n\nLatest updates: "
"1226892971909537802","Nissan to halt production at Japan factory due to #coronavirus | https://t.co/tQFid6XnCv https://t.co/VMlKpFHGqA"
"1226871301517737984"," ""China's gov't will prevent large-scale job layoffs amid the #coronavirus outbreak, says President Xi Jinping "
"1226853324269350912"," 'Authorities in China are reportedly spraying disinfectant in Wuhan to contain the #coronavirus spread, which has killed more than 900 people.\n\nLatest updates: "
"1226843609028276224","EU calls for emergency meeting of health ministers to discuss new #coronavirus | https://t.co/CjyAvXrpNR https://t.co/BphdccVB21"
"1226833819187208193","65 new #coronavirus infections confirmed aboard Diamond Princess cruise ship in Japan https://t.co/6ZgCVQzOJh https://t.co/rhHFyM1vkk"
"1226789797420830720"," 'World Health Organization warns cases of human-to-human #coronavirus transmission discovered outside China could be the “tip of the iceberg.”\n\nLatests updates: "
"1226756277763760129","UN health agency goes to mainland China as #coronvirus death toll rises to 908 people https://t.co/NuZUlstMrw https://t.co/6eD9ppYkXl"
"1226713785467011078","UN health agency goes to China as mainland deaths rise above 900 https://t.co/g1qLJadlLd"
"1226676074563751936","More than 900 dead in China from coronavirus outbreak https://t.co/UFWr3Pg0O0"
"1226473652910264329"," '#Coronavirus death toll rises to more than 800, overtaking the 2003 SARS epidemic which killed 774 people.\n\nLatest updates: "
"1226463311694356481","Spain confirms its second #coronavirus case https://t.co/8r6T2jATBV https://t.co/UEzGOBQF2e"
"1226438114341769217","Hong Kong lifts #coronavirus quarantine on cruise ship after clearing all its crew members https://t.co/OgYXCmupIb https://t.co/yv1rfnG0Mb"
"1226386495046447105","China's #coronavirus death toll rises to 811 with at least 37,198 people infected https://t.co/HH5RAV1ZdC https://t.co/I1gH8kfBva"
"1226321238764802049","China virus death toll surges past 800, as infections mount https://t.co/zOXT1FAVzh"
"1226294639562350592","Authorities in China are using the latest technology to contain the #coronavirus.

https://t.co/hDBqSQA4u0"
"1226160270759878658"," '""Some westerners are calling the #Coronavirus the China Virus, but I don\'t remember people calling Zika the Brazil Virus, or Ebola the Congo Virus."" "
"1226071922175246342","China's Wuhan opens second makeshift 1,500-bed hospital to fight #coronavirus | https://t.co/daw1ButoZE https://t.co/gDh6bbJZbg"
"1226017509427613697","China's #coronavirus death toll rises to 722 with at least 34,546 people infected https://t.co/zrZFC7P4VK https://t.co/sImAei2BPf"
"1225955040487231488","China's would-be tourists stay put along with their dollars https://t.co/zfWySLUmPw"
"1225939960253100033","China coronavirus outbreak: All the latest updates https://t.co/R7jhG84QB8"
"1225849206176395265"," 'The death of the doctor who exposed the #Coronavirus, exposed China’s obsession with order at all costs.\n\nWatch The Big Picture: The China Complex to understand why. "
"1225796360055603200"," 'What is China? Where is it going? What is it going to do? \n\nThe Big Picture traces China’s ancient and modern roots to show how its people have been governed by one defining principle – order.\n\n▶️Watch The China Complex: "
"1225739912462426113"," '@shaz_harro The death toll in China from the coronavirus outbreak has risen to 636. You can follow the latest updates here: "
"1225736461946736644"," ""Soon, the anger that had been focused on Dr Li's death morphed into something much larger: an unhappiness about the lack of freedom of speech in China. "
"1225573828547485697","China coronavirus outbreak: All the latest updates https://t.co/lX3AX6v1qR"
"1225549707293970432","RT @AJEnglish: “Panic isn’t going to solve this problem.” 

We spoke to a doctor who put the #coronavirus outbreak into perspective for us.…"
"1225471718388486145"," 'From drones to robots, authorities in China make use of the latest technology in an effort to contain the #coronavirus outbreak.\n\nRead more: "
"1225449072716201984"," '“Panic isn’t going to solve this problem.” \n\nWe spoke to a doctor who put the #coronavirus outbreak into perspective for us. Follow the latest: "
"1225433971506458624"," 'The UK confirms its third case of #coronavirus as Vietnam confirms the number of infections rises to 12 \n\nFollow the latest: "
"1225366524325715968","By the numbers: What's the economical cost of the #CoronavirusOutbreak? 

We break it down: https://t.co/xF3LDQL4Gn https://t.co/MmkcJRKdxA"
"1225362044737794048"," 'Taiwan is in the strange position of having its data compiled as part of China - while also being denied the same access to information as other governments by WHO. "
"1225332298523926528","'I want to live': China's workers struggle amid virus shutdown https://t.co/6txskkVGSB https://t.co/SENggDcgR8"
"1225305155702312961"," '#CoronavirusOutbreak death toll rises to 563 as the government rushes to build new hospitals and countries move to evacuate citizens.\n\nFollow the updates: "
"1225234096332341249","China coronavirus outbreak: All the latest updates https://t.co/GLy5WHQu76"
"1225168507349929985"," 'Gates Foundation announce $100 million fund to strengthen #coronavirus detection, isolation and treatment efforts "
"1225111769699508225"," 'World Health Organisation convening experts on drugs and vaccines to set #coronavirus research agenda "
"1225085543907762176","Adidas closes 'considerable' number of shops in China https://t.co/QkzyK1c1gV | #Coronavirus https://t.co/fJ8JDRvUy6"
"1225052706450169857"," '“So many people have died. Are these from yesterday?” \n\nA Wuhan resident films what appears to be body bags from inside the epicentre of the #coronavirus. \n\nFollow our rolling coverage here: "
"1225007407790772226"," 'Mothers may pass #coronavirus to their unborn children, Chinese doctors say.\n\nAfter an infected patient gave birth to a baby, the newborn was confirmed to have the virus.\n\nFollow the latest: "
"1224988534072848384"," 'At least 10 people on a cruise ship in Japan have been infected with the #coronavirus. \n\nFollow the latest on the outbreak: "
"1224963260820180992","China races to build more hospitals as the #coronavirus outbreak grows  https://t.co/cCdG9INXsw https://t.co/ujHExUGwD5"
"1224940765358575616","The death toll from the #coronavirus outbreak rose to 490.

All the latest updates: https://t.co/fVo3VtINWw https://t.co/uqH4JdrTDP"
"1224907043753971714","'Overreaction': China students stuck as Australia closes border https://t.co/KXEpaE1R4m"
"1224867947321143296","China coronavirus outbreak: All the latest updates https://t.co/LSxltt64bc"
"1224837701595213824","Britons urged to leave China as Europe steps up warnings https://t.co/Hyx0uOK5X9"
"1224747211319316480","RT @AJEnglish: Hong Kong reported its first death from the #coronavirus as infections worldwide continue to spread beyond China. 

Follow t…"
"1224679043607474178"," 'Hong Kong reported its first death from the #coronavirus as infections worldwide continue to spread beyond China. \n\nFollow the latest on the outbreak: "
"1224641246376996864","Can China handle the economic turmoil of the #coronavirus outbreak? https://t.co/PVkPfhmQVf https://t.co/pexrzxDZyQ"
"1224626288104812545"," 'Thailand confirms six new cases of #coronavirus as Philippines monitors 105 patients for possible infection.\n\nFollow all the latest: "
"1224603874314608641","RT @AJENews: LIVE: A first #coronavirus death in Hong Kong - as striking health workers demand the closure of all borders with mainland Chi…"
"1224595602086027264"," ""Hong Kong reported its first death from #coronavirus as China admits 'shortcomings' in its response to the flu-like virus "
"1224498011683852289","China admits 'shortcomings' as coronavirus death toll hits 425 https://t.co/suj3l7FlI5"
"1224427940194275328","RT @AJListeningPost: THREAD #CoronavirusOutbreak

Medics were arrested for their online posts about the coronavirus.

Writers like @roseluq…"
"1224385709571788807"," 'Philippine President Rodrigo Duterte calls on citizens to stop stirring anti-Chinese xenophobia "
"1224369256969711617"," ""China's Wuhan residents turn to Weibo - micro-blogging site - to vent anger at #coronavirus response "
"1224249161568149504","China has opened a new hospital - built in 10 days - to deal with the deadly #CoronavirusOutbreak https://t.co/mgUsxgdWvR"
"1224143186748223489","'Stress test': Coronavirus fatalities rise to 361 in China https://t.co/IhLguAnI59"
"1224050604802281475","@WHO #JeNeSuisPasUnVirus: The racist angle behind China's coronavirus epidemic https://t.co/ZT1JnwZoZ1 https://t.co/G3990UrA7K"
"1223961305821990914"," '""I am honestly having a hard time trying to understand what the Red Cross was thinking - this is unforgivable."" - Yukun Liu, businessman #Coronarivus "
"1223952108501815298","Follow our #coronavrius LIVE blog for all the latest updates: https://t.co/RMFL3YQVq6 https://t.co/LJz4AFyge4"
"1223937921843109888"," 'First #coronavirus death outside of China confirmed in the Philippines, with the overall death toll passing 300.\n\nLatest updates here: "
"1223902179460898818","Follow our #coronavrius LIVE blog for all the latest updates: https://t.co/uGnPkiLcDi https://t.co/fr2mILHuVm"
"1223901668301066240","RT @AJWitness: Lights, camera, Fairy Wang!
New York, Paris or Shanghai may be the #fashion capitals of the world, but far away in a remote…"
"1223877958198267904","RT @AJENews: LIVE: #Coronavirus outbreak, declared a public health emergency by UN, is spreading - with the first death outside of China re…"
"1223848544924327938","""This is the first reported [#coronavrius] death outside China."" - Rabindra Abeyasinghe, World Health Organization. https://t.co/VIp9ys1eaP"
"1223835777257345026","RT @AJEnglish: ICYMI: This was our most-viewed video on Twitter this week - two Pakistani students stuck in Wuhan, China, show us around th…"
"1223773271033831424","China coronavirus deaths, infections jump: All the latest updates https://t.co/JwmHgwZF7L"
"1223761866465390593","China coronavirus toll reaches 304, number of cases hits 14,380 https://t.co/JWdUOaqkhB"
"1223645685309939714"," 'With the death toll now in the hundreds, the number of infected in the thousands, @AJListeningPost looks at how the #CoronavirusOutbreak became a messaging nightmare "
"1223580005034274816","Qatar Airways suspends flights to mainland China following #coronavirus outbreak https://t.co/ftPo6C5YQp https://t.co/YgahKWTHBC"
"1223569093946527744","Iran bans flights to and from China https://t.co/5WyEJqlD6p | #Coronavirus https://t.co/3yZm6Kp8FF"
"1223551116484411392"," 'ICYMI: This was our most-viewed video on Twitter this week - two Pakistani students stuck in Wuhan, China, show us around the city where the #coronavirus outbreak began. "
"1223531051429044225","Apple to temporarily close all of its official stores in mainland China https://t.co/iX7zqOasx3 | #Coronavirus https://t.co/ssKsLBOrsS"
"1223486169431912448","China's #CoronavirusOutbreak sees death toll rise to at least 259 people https://t.co/Bs2070UVgV https://t.co/WcZoRtYETG"
"1223320183227527168","RT @AJListeningPost: The coronavirus outbreak in China has been a public health disaster and a messaging nightmare.

How has Beijing tried…"
"1223187371119783937","RT @AJEnglish: Two Pakistani students stuck in China's Wuhan show us around the city where the #CoronavirusOutbreak began.

Latest updates:…"
"1223138846369386496","How China's new #coronavirus spread https://t.co/FHV1puEWfW https://t.co/B5mJeLt5LJ"
"1223037098544050176","China battles coronavirus outbreak: All the latest updates https://t.co/aZ71ON3B1R"
"1222841311277002753"," ""Two Pakistani students stuck in China's Wuhan show us around the city where the #CoronavirusOutbreak began.\n\nLatest updates: "
"1222770278410936320","China's #coronavirus death toll hits 170, as countries step up evacuation plans https://t.co/iBV8jFPYzP https://t.co/AlKwYdTU8G"
"1222746259951243266","Scientists in China and other countries are working on developing a #coronavirus vaccine. https://t.co/VDKBtHHATr"
"1222682247477825538","China battles coronavirus outbreak: All the latest updates https://t.co/sJRekMTwdE"
"1222424891346997248"," 'Chinese authorities have closed off almost 20 cities amid efforts to contain a new #CoronavirusOutbreak \n\nA timeline: "
"1222413566503866368","By the numbers: What's the economical cost of the #CoronavirusOutbreak? 

We break it down: https://t.co/xF3LDR2FxV https://t.co/aXXMUc1dfI"
"1222323712055218176","China battles coronavirus outbreak: All the latest updates https://t.co/QnuiZBgMfM"
"1222134510990610433"," '""Outside of China, it is clearly working ... it\'s quite encouraging that the cases are largely, largely imported from China.""\n\nCould China\'s #CoronavirusOutbreak become a global epidemic? "
"1222081459030306818","By the numbers: What's the economical cost of the #CoronavirusOutbreak? 

We break it down: https://t.co/xF3LDQL4Gn https://t.co/9gxaKXJ3ge"
"1222077602598289408"," 'Chinese authorities have closed off almost 20 cities amid efforts to contain a new #CoronavirusOutbreak \n\nA timeline: "
"1222022489758408704","Here's what you need to know about China’s deadly #coronavirus👇 https://t.co/sEdjubZzCi"
"1221983944096342021","China virus death toll jumps to 106, nearly 1,300 new cases: govt https://t.co/SihgRL9qHs"
"1221961997081858050","China battles coronavirus outbreak: All the latest updates https://t.co/Pb9wsqk4uJ"
"1221876009059876864","RT @AJEnglish: Here's what you need to know about China’s deadly #coronavirus👇 

Follow the latest: https://t.co/UPK98KhLdY https://t.co/0v…"
"1221855393036546049"," 'Beijing reported its first death caused by the new #coronavrius.\n\nThe US and China are in close contact over the outbreak, which infected thousands in more than 10 countries and killed at least 81 "
"1221818187852996608","Here's what you need to know about China’s deadly #coronavirus👇 

Follow the latest: https://t.co/UPK98KhLdY https://t.co/0vtRkBuNqA"
"1221794993679093760"," 'Medical staff work day and night to combat the deadly #coronavirus outbreak, despite overcrowded hospitals and lack of supplies.\n\nRead more on the outbreak here: "
"1221762006144950273","RT @AJEnglish: This medic in China was infected while treating patients with the new coronavirus. 

The death toll has jumped to 81, with C…"
"1221711439821299713"," 'This medic in China was infected while treating patients with the new coronavirus. \n\nThe death toll has jumped to 81, with Chinese authorities saying there are now more than 2,700 confirmed cases. "
"1221702470021341184"," 'Chinese authorities have closed off almost 20 cities amid efforts to contain a new #CoronavirusOutbreak that has killed at least 81.\n\nA timeline: "
"1221681257446354944"," '• Coronavirus death toll rises to 80\n• Over 2,700 infected\n• China extends Lunar New Year holiday\n#CoronavirusOutbreak: "
"1221629127972835329","China battles coronavirus outbreak: All the latest updates https://t.co/VpLtU8sS46"
"1221606416504512513","China virus toll spikes to 80, more than 2,700 cases confirmed https://t.co/lc9V2vWgll"
"1221508162634895361"," 'China steps up #coronavirus containment efforts as death toll rises to 56 people.\n\nRead more: "
"1221505406352220162","#Coronavirus — in pictures https://t.co/ygYD3bzX9k https://t.co/28OWxEVZlw"
"1221495300877103104","Taiwan officials confirm fourth case of the new #coronavirus | https://t.co/NywVdTkft8 https://t.co/C8CsRAEIJ8"
"1221475078422106113","China scrambles to contain 'strengthening'  #coronavirus | https://t.co/TirsKxI3To https://t.co/ceGkBNcXPv"
"1221444142481408001","Deadly #CoronavirusOutbreak reaches France. 

Read more: https://t.co/tUeeE72aOg https://t.co/ApLyvN9xUk"
"1221389317345431552"," 'China is building a hospital in Wuhan, the epicentre of the #CoronavirusOutbreak - and hopes to have it done in 6 days. "
"1221354029588123648"," 'Chinese authorities have closed off almost 20 cities amid efforts to contain a new #CoronavirusOutbreak \n\nA timeline: "
"1221338765832138752"," '• Coronavirus death toll rises to 56\n• Nearly 2,000 infected\n• Drastic travel restrictions expanded in China\n"
"1221329138662985728","RT @AJENews: LIVE: Update on the #coronavirus from China's National Health Commission. 

For all the latest; https://t.co/4S0Kgkalpc  https…"
"1221278015868542976","China virus death toll rises to 56, with nearly 2,000 infected https://t.co/l9veuxjwbI"
"1221225170767110144","China battles coronavirus outbreak: All the latest updates https://t.co/5eIoFviZoE"
"1221178019508867073","UPDATE: #Coronavirus death toll in China rises to 42 people https://t.co/QY6OT7zjPG https://t.co/51dQaT1cAy"
"1221110425087029248"," ""UPDATE: China's number of confirmed #coronavirus cases rises to 1,372, says state broadcaster "
"1221103258699292673","RT @AJ101East: Follow @AJ101East on a journey from China to Africa to Pakistan, along China’s ambitious new Silk Road: https://t.co/SeEafe2…"
"1221013533065928706"," ""• Hong Kong declares coronavirus outbreak an 'emergency'\n• 41 people dead, at least 1,287 infected\n• China locks down more cities, restricting movement of 56 million people\n\nFollow the latest updates: "
"1220988117647331328","RT @AJEnglish: As #ChineseNewYear approaches, people in China and around the world will burn incense in temples &amp; traditional ceremonies.…"
"1220949321971052549","China expands coronavirus outbreak lockdown as death toll rises https://t.co/kUvjvrL6aN https://t.co/G4eopXRd6r"
"1220881663833661441","China battles coronavirus outbreak: All the latest updates https://t.co/2yPrDpafJQ"
"1220840114949107712","China expands coronavirus outbreak lockdown, fast-tracks hospital https://t.co/MNHJrbkzOk"
"1220802320788873217"," 'France has confirmed the first two cases of #coronavirus in Europe.\n\nHere are all the latest updates: "
"1220738025757519873"," 'The second case of #coronavirus in the US has been confirmed.\n\nFollow the latest on the outbreak: "
"1220731224051867648"," '“Nobody’s come to manage this.” \n\nThis video allegedly shows dead bodies lying in hospital aisles in Wuhan Red Cross Hospital, the city where the #coronavirus originated. \n\nThe virus has killed 26 people and infected at least 830 "
"1220722965609877506"," ""Billionaire philanthropist George Soros says the world's strongest powers - US, China and Russia - are 'in the hands of would-be or actual dictators' "
"1220715378399219714"," 'As #ChineseNewYear approaches, people in China and around the world will burn incense in temples &amp; traditional ceremonies.\n\nMeet the master incense makers rushing to meet the demand 🎇 "
"1220704069846798336"," 'Fear in Kashmir after India\'s newly-recruited top general talks of ""deradicalisation"" camps, drawing comparisons to internment of Uighurs in China "
"1220676379072704513"," '.@AJ101East travels to Pakistan, where China is investing $62 billion over the next 15 years to transform the small fishing port of Gwadar. "
"1220667650398879744","RT @AJENews: LIVE: The World Health Organization (@WHO) gives update on China's coronavirus outbreak.

Follow latest updates: https://t.co/…"
"1220664899287863296","Some parts of Great Wall to be closed to visitors due to #CoronaViruesue | https://t.co/j8viX105mj https://t.co/ytgAH4Ofuy"
"1220657386932834305"," ""UK 'highly likely' to have cases of #CoronaViruesue, says medical director of Public Health England "
"1220644435769405440","China rushes to build 1,000-bed hospital in Wuhan https://t.co/pRfj6E2H2J | #CoronaViruesue https://t.co/vRYGl7tPnj"
"1220640492645507073"," 'BREAKING: Authorities in Beijing and Shanghai urge people from #CoronavirusOutbreak areas to stay home for 14 days "
"1220586503589498881","China broadens lockdowns as #CoronavirusOutbreak death toll rises to at least 25 people https://t.co/GBB5pJT2Ko https://t.co/k9kslC05Hq"
"1220549468686311425","China broadens lockdowns as coronavirus death toll rises https://t.co/7iOrLOigpp"
"1220507947014459399","Hogging plates: China's diners still want pork despite price rise https://t.co/L7rT9zLREy"
"1220395961630982144"," 'The #CoronavirusOutbreak has killed 18 people and infected at least 634 as health authorities around the world take action to prevent a global pandemic "
"1220394512406564867"," 'China allocates one billion yuan ($145m) in funding to help efforts to contain the #CoronavirusOutbreak | "
"1220379413126225922"," 'An Indian nurse in Saudi Arabia has been infected with the coronavirus while the first case has been confirmed in Singapore.\n\nFollow the latest on the #CoronavirusOutbreak: "
"1220327476121014282","China locks down second city as it steps up #CoronavirusOutbreak battle https://t.co/HTs2HUB2l9 https://t.co/x7mUdduDFo"
"1220239781424222209"," 'China seals off 11 million residents of Wuhan as authorities step up effort to halt spread of coronavirus "
"1220168180208893952","China 'fails to repatriate' N Korea workers despite UN sanctions https://t.co/5uKfsNvvzy"
"1220153114755502080","Wuhan sealed off as China steps up battle against deadly virus https://t.co/4YFWrJrjuB"
"1219994375909806090"," 'At least nine people have died from the coronavirus in China as cases rise to 440.  \n\nThe illness is transmitted via the respiratory tract "
"1219925766173085696","RT @AJENews: North Korea bans foreign tourists over China virus: Tour agency https://t.co/Wf1CWJMg3v https://t.co/WJxbSf37sY"
"1219817217921114112","China says coronavirus cases rise to 440, with nine deaths https://t.co/YSjW8hpwvU"
"1230964318633701376","Coronavirus brings out anti-Chinese sentiment in South Korea https://t.co/W1bvPBzJcM"
"1230949076843278337"," '""The coronavirus issue could not have come at a worse time to start a \ncruise line."" - Christopher Muller, Boston University. "
"1230933959619436544","#Coronavirus claims two more lives in Iran https://t.co/0C37OT8UUA https://t.co/Rz87UHGlyv"
"1230922886442930177","What happens if you catch the new #coronavirus? https://t.co/NgljjqTfBb | #COVID2019 https://t.co/4xb6rjMKDz"
"1230903761012436993","When will a #coronavirus vaccine be available? https://t.co/dE0EVaOFU0 https://t.co/YMmEI0FJSH"
"1230892496907051008","First case of #coronavirus confirmed in Lebanon https://t.co/jcJtyTCVp7 https://t.co/QSn9XKYdN0"
"1230868528288292864","6 #coronavirus cases discovered in north Italy, hundreds to be tested https://t.co/qJq4tqOVjW https://t.co/vaqcQN6F18"
"1230779220890210308","South Korea's confirmed coronavirus cases rise to 204.

Read the latest on #COVID19: https://t.co/NOnloisORZ https://t.co/jszVNibMed"
"1230768416237031427"," 'The world is in the grips of an epidemic more dangerous than coronavirus - racism "
"1230435676040171520"," 'Parents of Pakistani students stuck in Wuhan are demanding their children be evacuated from the epicentre of the coronavirus outbreak. #COVID19\n\nLatest: "
